Variable	Start [h]	End [h]
Sun azimuth angle	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Sun elevation angle	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung - 0	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung N 90	298080	299520
Direktstrahlung N 30	298080,380160	299520,381600
Direktstrahlung N-E 90	298080,380160	299520,381600
Direktstrahlung N-E 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung E 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung E 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung S-E 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung S-E 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung S 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung S 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung S-W 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung S-W 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung W 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung W 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung N-W 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Direktstrahlung N-W 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung - 0	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung N 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung N 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung N-E 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung N-E 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung E 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung E 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung S-E 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung S-E 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung S 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung S 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung S-W 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung S-W 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung W 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung W 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung N-W 90	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
Diffusstrahlung N-W 30	90720,298080,380160,426240,504000	92160,299520,381600,427680,505439
